Category,Name,Price
"Nước ngọt, nước trà",24 chai trà TeaPlus lạt 455ml,212000
"Nước ngọt, nước trà",Thùng 24 chai trà TeaPlus 455ml,212000
"Nước ngọt, nước trà",Thùng 24 chai Tea+ vị chanh 455ml,212000
"Nước ngọt, nước trà",Thùng 24 lon trà FuzeTea 330ml,210000
"Nước ngọt, nước trà",Thùng 24 chai trà Boganic 290ml,210000
"Nước ngọt, nước trà",Thùng 24 lon trà FuzeTea 320ml,210000
"Nước ngọt, nước trà",24 lon tăng lực Lipovitan 250ml,205000
"Nước ngọt, nước trà",24 chai hồng trà vải C2 455ml,202000
"Nước ngọt, nước trà",Thùng 24 chai hồng trà C2 455ml,202000
"Nước ngọt, nước trà",24 chai hồng trà đào C2 455ml,202000
"Nước ngọt, nước trà",Thùng 24 chai C2 hương chanh 455ml,202000
"Nước ngọt, nước trà",Thùng 24 lon trà Wonderfarm 310ml,200000
"Nước ngọt, nước trà",Thùng 24 lon Fanta việt quất 330ml,196000
"Nước ngọt, nước trà",24 lon nước ngọt Sprite 330ml,196000
"Nước ngọt, nước trà",24 lon trà Lipton chanh 330ml,195000
"Nước ngọt, nước trà",24 nước tăng lực Number1 330ml,195000
"Nước ngọt, nước trà",30 lon trà bí đao Wonderfarm 240ml,195000
"Nước ngọt, nước trà",Thùng 24 lon Fanta soda kem 330ml,190000
"Nước ngọt, nước trà",Thùng 24 lon Fanta vị cam 330ml,190000
"Nước ngọt, nước trà",24 lon nước ngọt Fanta xá xị 330ml,190000
"Nước ngọt, nước trà",Thùng 24 lon Mirinda xá xị 330ml,190000
"Nước ngọt, nước trà",24 chai nước uống Aquarius 390ml,186000
"Nước ngọt, nước trà",24 lon nước ngọt Sprite 250ml,180000
"Nước ngọt, nước trà",Thùng 24 lon nước ngọt Fanta 250ml,180000
"Nước ngọt, nước trà",Thùng 24 hộp trà đào sả Cozy 225ml,180000
"Nước ngọt, nước trà",24 lon Chương Dương Sleek 330ml,180000
"Nước ngọt, nước trà",Thùng 24 hộp trà vải Cozy 225ml,180000
"Nước ngọt, nước trà",Thùng 24 hộp trà tắc Cozy 225ml,180000
"Nước ngọt, nước trà",24 chai nước Aquarius Zero 390ml,178000
"Nước ngọt, nước trà",6 lon uống Monster Ultra 355ml,174000
"Nước ngọt, nước trà",Thùng 24 chai trà Lipton 350ml,170000
"Nước ngọt, nước trà",Thùng 24 chai trà C2 vị táo 360ml,160000
"Nước ngọt, nước trà",Thùng 24 chai Mountain Dew 390ml,160000
"Nước ngọt, nước trà",24 chai trà C2 hương chanh 360ml,160000
"Nước ngọt, nước trà",Thùng 24 chai trà Tea Plus 350ml,160000
"Nước ngọt, nước trà",Thùng 24 chai nước ngọt 7 Up 390ml,155000
"Nước ngọt, nước trà",24 chai nước Pepsi Cola 390ml,155000
"Nước ngọt, nước trà",Thùng 24 chai Chương Dương 390ml,150000
"Nước ngọt, nước trà",24 chai nước trà FuzeTea+ 350ml,149000
"Nước ngọt, nước trà",6 chai trà ITOEN không đường 500ml,145000
"Nước ngọt, nước trà",24 lon soda Chương Dương 330ml,125000
"Nước ngọt, nước trà",6 chai nước trà đào Pokka 500ml,115000
"Nước ngọt, nước trà",6 chai Fanta soda kem 1.5 lít,115000
"Nước ngọt, nước trà",6 chai nước Sprite chanh 1.5 lít,115000
"Nước ngọt, nước trà",6 chai nước ngọt Fanta cam 1.5 lít,115000
"Nước ngọt, nước trà",6 chai nước ngọt Coca Cola 1.5 lít,115000
"Nước ngọt, nước trà",6 chai trà chanh sả FuzeTea 1 lít,105000
"Nước ngọt, nước trà",6 chai nước uống Gatorade 500ml,99000
"Nước ngọt, nước trà",6 chai trà xanh lài Pokka 500ml,93000
"Nước ngọt, nước trà",6 chai trà Pokka không đường 500ml,93000
"Nước ngọt, nước trà",6 chai nước khoáng Pocari 500ml,85000
"Nước ngọt, nước trà",6 chai trà xanh C2 ít đường 500ml,80000
"Nước ngọt, nước trà",6 lon nước ngọt Coca Cola 320ml,60000
"Nước ngọt, nước trà",6 chai nước khoáng Pocari 350ml,70000
"Nước ngọt, nước trà",6 lon trà xanh Nhật Pokka 300ml,70000
"Nước ngọt, nước trà",6 lon trà ô long Pokka 300ml,70000
"Nước ngọt, nước trà",6 chai trà thảo mộc Dr.Thanh 455ml,62000
"Nước ngọt, nước trà",6 lon nước Mirinda đá me 330ml,62000
"Nước ngọt, nước trà",6 lon Pepsi không calo chanh 330ml,60000
"Nước ngọt, nước trà",6 lon nước có gas Coca Zero 320ml,60000
"Nước ngọt, nước trà",6 lon nước ngọt có gas 7 Up 330ml,60000
"Nước ngọt, nước trà",6 lon nước Pepsi không calo 320ml,60000
"Nước ngọt, nước trà",6 lon nước tăng lực Sting 320ml,58000
"Nước ngọt, nước trà",6 lon trà xanh Yeo's hoa lài 300ml,58000
"Nước ngọt, nước trà",6 chai trà thảo mộc Boganic 290ml,58000
"Nước ngọt, nước trà",6 lon trà bí đao Yeo's 300ml,58000
"Nước ngọt, nước trà",6 chai nước có gas Sprite 600ml,58000
"Nước ngọt, nước trà",6 lon nước ngọt Coca cà phê 330ml,58000
"Nước ngọt, nước trà",6 lon nước ngọt Mirinda cam 330ml,58000
"Nước ngọt, nước trà",6 lon nước trà hoa cúc Yeo's 300ml,58000
"Nước ngọt, nước trà",6 chai Fanta hương soda kem 600ml,58000
"Nước ngọt, nước trà",6 chai nước ngọt Fanta cam 600ml,58000
"Nước ngọt, nước trà",6 chai nước ngọt Coca Cola 600ml,58000
"Nước ngọt, nước trà",6 chai nước Sting vị cà phê 330ml,57000
"Nước ngọt, nước trà",6 chai trà Tea Plus vị chanh 455ml,57000
"Nước ngọt, nước trà",6 chai trà matcha Tea Plus 455ml,57000
"Nước ngọt, nước trà",6 lon nước tăng lực Carabao 250ml,57000
"Nước ngọt, nước trà",6 lon nước ngọt Coca Light 330ml,57000
"Nước ngọt, nước trà",6 chai trà ô long TeaPlus 455ml,57000
"Nước ngọt, nước trà",6 chai trà Kirin ít đường 345ml,56000
"Nước ngọt, nước trà",6 chai trà xanh và nha đam 350ml,55000
"Nước ngọt, nước trà",6 lon trà chanh sả FuzeTea 320ml,55000
"Nước ngọt, nước trà",6 chai trà Lipton vị chanh 455ml,55000
"Nước ngọt, nước trà",6 lon trà bí đao FuzeTea 330ml,55000
"Nước ngọt, nước trà",6 chai trung hồng trà C2 455ml,54000
"Nước ngọt, nước trà",6 chai C2 hương chanh 455ml,54000
"Nước ngọt, nước trà",6 chai nước hồng trà vải C2 455ml,54000
"Nước ngọt, nước trà",6 chai nước hồng trà đào C2 455ml,54000
"Nước ngọt, nước trà",6 chai nước tăng lực Warrior 330ml,54000
"Nước ngọt, nước trà",6 lon nước tăng lực Sting 330ml,53000
"Nước ngọt, nước trà",6 lon trà bí đao Wonderfarm 310ml,52000
